forecast_date,target,target_end_date,location,type,quantile,value,timezero,model,truth_data_source,shift_ECDC,shift_JHU,first_commit_date
2022-08-08,1 wk ahead inc case,2022-08-13,PL,quantile,0.025,19223.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,1 wk ahead inc case,2022-08-13,PL,quantile,0.25,23281.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,1 wk ahead inc case,2022-08-13,PL,quantile,0.75,26729.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,1 wk ahead inc case,2022-08-13,PL,quantile,0.975,33216.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,2 wk ahead inc case,2022-08-20,GM,point,,234589.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,2 wk ahead inc case,2022-08-20,GM,quantile,0.025,137726.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,2 wk ahead inc case,2022-08-20,GM,quantile,0.25,193525.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,2 wk ahead inc case,2022-08-20,GM,quantile,0.75,298517.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,2 wk ahead inc case,2022-08-20,GM,quantile,0.975,558493.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,2 wk ahead inc case,2022-08-20,PL,point,,24020.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,2 wk ahead inc case,2022-08-20,PL,quantile,0.025,13276.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,2 wk ahead inc case,2022-08-20,PL,quantile,0.25,20548.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,2 wk ahead inc case,2022-08-20,PL,quantile,0.75,28101.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,2 wk ahead inc case,2022-08-20,PL,quantile,0.975,43529.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,3 wk ahead inc case,2022-08-27,GM,point,,200027.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,3 wk ahead inc case,2022-08-27,GM,quantile,0.025,94004.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,3 wk ahead inc case,2022-08-27,GM,quantile,0.25,150295.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,3 wk ahead inc case,2022-08-27,GM,quantile,0.75,295802.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,3 wk ahead inc case,2022-08-27,GM,quantile,0.975,814038.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,3 wk ahead inc case,2022-08-27,PL,point,,21355.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,3 wk ahead inc case,2022-08-27,PL,quantile,0.025,8239.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,3 wk ahead inc case,2022-08-27,PL,quantile,0.25,16416.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,3 wk ahead inc case,2022-08-27,PL,quantile,0.75,27252.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,3 wk ahead inc case,2022-08-27,PL,quantile,0.975,50754.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,4 wk ahead inc case,2022-09-03,GM,point,,152110.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,4 wk ahead inc case,2022-09-03,GM,quantile,0.025,51346.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,4 wk ahead inc case,2022-09-03,GM,quantile,0.25,106957.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,4 wk ahead inc case,2022-09-03,GM,quantile,0.75,267722.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,4 wk ahead inc case,2022-09-03,GM,quantile,0.975,1058449.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,4 wk ahead inc case,2022-09-03,PL,point,,18241.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,4 wk ahead inc case,2022-09-03,PL,quantile,0.025,4897.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,4 wk ahead inc case,2022-09-03,PL,quantile,0.25,12816.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,4 wk ahead inc case,2022-09-03,PL,quantile,0.75,26379.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-08,4 wk ahead inc case,2022-09-03,PL,quantile,0.975,64547.0,2022-08-08,AMM-EpiInvert,,,,2022-09-05
2022-08-15,0 wk ahead inc case,2022-08-13 00:00:00,GM,observed,,,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,0 wk ahead inc case,2022-08-13 00:00:00,PL,observed,,,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,1 wk ahead inc case,2022-08-20,GM,point,,264242.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,1 wk ahead inc case,2022-08-20,GM,quantile,0.025,191919.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,1 wk ahead inc case,2022-08-20,GM,quantile,0.25,240254.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,1 wk ahead inc case,2022-08-20,GM,quantile,0.75,293511.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,1 wk ahead inc case,2022-08-20,GM,quantile,0.975,426094.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,1 wk ahead inc case,2022-08-20,PL,point,,26251.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,1 wk ahead inc case,2022-08-20,PL,quantile,0.025,20554.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,1 wk ahead inc case,2022-08-20,PL,quantile,0.25,24901.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,1 wk ahead inc case,2022-08-20,PL,quantile,0.75,27791.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,1 wk ahead inc case,2022-08-20,PL,quantile,0.975,34760.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,2 wk ahead inc case,2022-08-27,GM,point,,240528.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,2 wk ahead inc case,2022-08-27,GM,quantile,0.025,142902.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,2 wk ahead inc case,2022-08-27,GM,quantile,0.25,197283.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,2 wk ahead inc case,2022-08-27,GM,quantile,0.75,297644.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,2 wk ahead inc case,2022-08-27,GM,quantile,0.975,676903.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,2 wk ahead inc case,2022-08-27,PL,point,,26099.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,2 wk ahead inc case,2022-08-27,PL,quantile,0.025,15833.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,2 wk ahead inc case,2022-08-27,PL,quantile,0.25,22760.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,2 wk ahead inc case,2022-08-27,PL,quantile,0.75,29947.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,2 wk ahead inc case,2022-08-27,PL,quantile,0.975,46105.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,3 wk ahead inc case,2022-09-03,GM,point,,234537.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,3 wk ahead inc case,2022-09-03,GM,quantile,0.025,100142.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,3 wk ahead inc case,2022-09-03,GM,quantile,0.25,165656.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,3 wk ahead inc case,2022-09-03,GM,quantile,0.75,324191.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,3 wk ahead inc case,2022-09-03,GM,quantile,0.975,1278562.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,3 wk ahead inc case,2022-09-03,PL,point,,25386.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,3 wk ahead inc case,2022-09-03,PL,quantile,0.025,11225.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,3 wk ahead inc case,2022-09-03,PL,quantile,0.25,20476.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,3 wk ahead inc case,2022-09-03,PL,quantile,0.75,31637.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,3 wk ahead inc case,2022-09-03,PL,quantile,0.975,67786.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,4 wk ahead inc case,2022-09-10,GM,point,,237657.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,4 wk ahead inc case,2022-09-10,GM,quantile,0.025,69435.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,4 wk ahead inc case,2022-09-10,GM,quantile,0.25,138450.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,4 wk ahead inc case,2022-09-10,GM,quantile,0.75,363904.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,4 wk ahead inc case,2022-09-10,GM,quantile,0.975,2342166.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,4 wk ahead inc case,2022-09-10,PL,point,,23841.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,4 wk ahead inc case,2022-09-10,PL,quantile,0.025,8066.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,4 wk ahead inc case,2022-09-10,PL,quantile,0.25,17449.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,4 wk ahead inc case,2022-09-10,PL,quantile,0.75,34567.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-15,4 wk ahead inc case,2022-09-10,PL,quantile,0.975,93085.0,2022-08-15,AMM-EpiInvert,,,,2022-09-05
2022-08-22,0 wk ahead inc case,2022-08-20 00:00:00,GM,observed,,,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,0 wk ahead inc case,2022-08-20 00:00:00,PL,observed,,,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,1 wk ahead inc case,2022-08-27,GM,point,,283594.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,1 wk ahead inc case,2022-08-27,GM,quantile,0.025,191338.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,1 wk ahead inc case,2022-08-27,GM,quantile,0.25,256015.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,1 wk ahead inc case,2022-08-27,GM,quantile,0.75,314050.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,1 wk ahead inc case,2022-08-27,GM,quantile,0.975,472082.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,1 wk ahead inc case,2022-08-27,PL,point,,25457.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,1 wk ahead inc case,2022-08-27,PL,quantile,0.025,17176.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,1 wk ahead inc case,2022-08-27,PL,quantile,0.25,22981.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,1 wk ahead inc case,2022-08-27,PL,quantile,0.75,28191.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,1 wk ahead inc case,2022-08-27,PL,quantile,0.975,42377.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,2 wk ahead inc case,2022-09-03,GM,point,,295778.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,2 wk ahead inc case,2022-09-03,GM,quantile,0.025,145659.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,2 wk ahead inc case,2022-09-03,GM,quantile,0.25,242949.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,2 wk ahead inc case,2022-09-03,GM,quantile,0.75,357808.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,2 wk ahead inc case,2022-09-03,GM,quantile,0.975,754893.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,2 wk ahead inc case,2022-09-03,PL,point,,25426.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,2 wk ahead inc case,2022-09-03,PL,quantile,0.025,12521.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,2 wk ahead inc case,2022-09-03,PL,quantile,0.25,20885.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,2 wk ahead inc case,2022-09-03,PL,quantile,0.75,30758.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,2 wk ahead inc case,2022-09-03,PL,quantile,0.975,64893.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,3 wk ahead inc case,2022-09-10,GM,point,,288027.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,3 wk ahead inc case,2022-09-10,GM,quantile,0.025,101339.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,3 wk ahead inc case,2022-09-10,GM,quantile,0.25,214086.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,3 wk ahead inc case,2022-09-10,GM,quantile,0.75,386440.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,3 wk ahead inc case,2022-09-10,GM,quantile,0.975,1176057.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,3 wk ahead inc case,2022-09-10,PL,point,,24437.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,3 wk ahead inc case,2022-09-10,PL,quantile,0.025,8598.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,3 wk ahead inc case,2022-09-10,PL,quantile,0.25,18164.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,3 wk ahead inc case,2022-09-10,PL,quantile,0.75,32787.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,3 wk ahead inc case,2022-09-10,PL,quantile,0.975,99780.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,4 wk ahead inc case,2022-09-17,GM,point,,288140.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,4 wk ahead inc case,2022-09-17,GM,quantile,0.025,74147.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,4 wk ahead inc case,2022-09-17,GM,quantile,0.25,192747.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,4 wk ahead inc case,2022-09-17,GM,quantile,0.75,438167.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,4 wk ahead inc case,2022-09-17,GM,quantile,0.975,1704517.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,4 wk ahead inc case,2022-09-17,PL,point,,24842.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,4 wk ahead inc case,2022-09-17,PL,quantile,0.025,6393.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,4 wk ahead inc case,2022-09-17,PL,quantile,0.25,16618.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,4 wk ahead inc case,2022-09-17,PL,quantile,0.75,37777.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-22,4 wk ahead inc case,2022-09-17,PL,quantile,0.975,146955.0,2022-08-22,AMM-EpiInvert,,,,2022-09-05
2022-08-29,0 wk ahead inc case,2022-08-27 00:00:00,GM,observed,,,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,0 wk ahead inc case,2022-08-27 00:00:00,PL,observed,,,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,1 wk ahead inc case,2022-09-03,GM,point,,230345.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,1 wk ahead inc case,2022-09-03,GM,quantile,0.025,155412.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,1 wk ahead inc case,2022-09-03,GM,quantile,0.25,207944.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,1 wk ahead inc case,2022-09-03,GM,quantile,0.75,255082.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,1 wk ahead inc case,2022-09-03,GM,quantile,0.975,383442.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,1 wk ahead inc case,2022-09-03,PL,point,,21765.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,1 wk ahead inc case,2022-09-03,PL,quantile,0.025,16234.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,1 wk ahead inc case,2022-09-03,PL,quantile,0.25,20143.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,1 wk ahead inc case,2022-09-03,PL,quantile,0.75,23497.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,1 wk ahead inc case,2022-09-03,PL,quantile,0.975,32176.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,2 wk ahead inc case,2022-09-10,GM,point,,235969.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,2 wk ahead inc case,2022-09-10,GM,quantile,0.025,116206.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,2 wk ahead inc case,2022-09-10,GM,quantile,0.25,193823.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,2 wk ahead inc case,2022-09-10,GM,quantile,0.75,285456.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,2 wk ahead inc case,2022-09-10,GM,quantile,0.975,602246.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,2 wk ahead inc case,2022-09-10,PL,point,,20485.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,2 wk ahead inc case,2022-09-10,PL,quantile,0.025,10995.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,2 wk ahead inc case,2022-09-10,PL,quantile,0.25,17305.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,2 wk ahead inc case,2022-09-10,PL,quantile,0.75,24116.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,2 wk ahead inc case,2022-09-10,PL,quantile,0.975,46298.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,3 wk ahead inc case,2022-09-17,GM,point,,233589.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,3 wk ahead inc case,2022-09-17,GM,quantile,0.025,82185.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,3 wk ahead inc case,2022-09-17,GM,quantile,0.25,173623.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,3 wk ahead inc case,2022-09-17,GM,quantile,0.75,313401.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,3 wk ahead inc case,2022-09-17,GM,quantile,0.975,953779.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,3 wk ahead inc case,2022-09-17,PL,point,,19467.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,3 wk ahead inc case,2022-09-17,PL,quantile,0.025,7512.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,3 wk ahead inc case,2022-09-17,PL,quantile,0.25,14858.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,3 wk ahead inc case,2022-09-17,PL,quantile,0.75,25375.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,3 wk ahead inc case,2022-09-17,PL,quantile,0.975,70338.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,4 wk ahead inc case,2022-09-24,GM,point,,220461.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,4 wk ahead inc case,2022-09-24,GM,quantile,0.025,56731.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,4 wk ahead inc case,2022-09-24,GM,quantile,0.25,147474.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,4 wk ahead inc case,2022-09-24,GM,quantile,0.75,335249.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,4 wk ahead inc case,2022-09-24,GM,quantile,0.975,1304156.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,4 wk ahead inc case,2022-09-24,PL,point,,18705.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,4 wk ahead inc case,2022-09-24,PL,quantile,0.025,5235.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,4 wk ahead inc case,2022-09-24,PL,quantile,0.25,12899.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,4 wk ahead inc case,2022-09-24,PL,quantile,0.75,27526.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-08-29,4 wk ahead inc case,2022-09-24,PL,quantile,0.975,100866.0,2022-08-29,AMM-EpiInvert,,,,2022-09-05
2022-09-05,0 wk ahead inc case,2022-09-03 00:00:00,GM,observed,,,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,0 wk ahead inc case,2022-09-03 00:00:00,PL,observed,,,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,1 wk ahead inc case,2022-09-10,GM,point,,196910.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,1 wk ahead inc case,2022-09-10,GM,quantile,0.025,132853.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,1 wk ahead inc case,2022-09-10,GM,quantile,0.25,177761.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,1 wk ahead inc case,2022-09-10,GM,quantile,0.75,218057.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,1 wk ahead inc case,2022-09-10,GM,quantile,0.975,327784.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,1 wk ahead inc case,2022-09-10,PL,point,,16199.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,1 wk ahead inc case,2022-09-10,PL,quantile,0.025,12082.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,1 wk ahead inc case,2022-09-10,PL,quantile,0.25,14992.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,1 wk ahead inc case,2022-09-10,PL,quantile,0.75,17488.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,1 wk ahead inc case,2022-09-10,PL,quantile,0.975,23948.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,2 wk ahead inc case,2022-09-17,GM,point,,191416.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,2 wk ahead inc case,2022-09-17,GM,quantile,0.025,94265.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,2 wk ahead inc case,2022-09-17,GM,quantile,0.25,157227.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,2 wk ahead inc case,2022-09-17,GM,quantile,0.75,231559.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,2 wk ahead inc case,2022-09-17,GM,quantile,0.975,488537.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,2 wk ahead inc case,2022-09-17,PL,point,,13955.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,2 wk ahead inc case,2022-09-17,PL,quantile,0.025,7490.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,2 wk ahead inc case,2022-09-17,PL,quantile,0.25,11788.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,2 wk ahead inc case,2022-09-17,PL,quantile,0.75,16429.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,2 wk ahead inc case,2022-09-17,PL,quantile,0.975,31540.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,3 wk ahead inc case,2022-09-24,GM,point,,191427.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,3 wk ahead inc case,2022-09-24,GM,quantile,0.025,67351.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,3 wk ahead inc case,2022-09-24,GM,quantile,0.25,142284.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,3 wk ahead inc case,2022-09-24,GM,quantile,0.75,256834.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,3 wk ahead inc case,2022-09-24,GM,quantile,0.975,781625.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,3 wk ahead inc case,2022-09-24,PL,point,,12317.0,2022-09-05,AMM-EpiInvert,,,,
2022-09-05,3 wk ahead inc case,2022-09-24,PL,quantile,0.025,4753.0,2022-09-05,AMM-EpiInvert,,,,
